H,V,C,R,G,B
10R,3,2,11,6,8
10R,3,4,15,5,7
10R,3,6,19,4,6
10R,3,8,22,3,5
10R,3,10,26,2,4
10R,3,12,30,1,3
10R,3,14,34,0,3
2.5YR,3,2,11,6,8
2.5YR,3,4,15,5,6
2.5YR,3,6,18,4,5
2.5YR,3,8,21,4,4
2.5YR,3,10,23,3,3
5YR,3,2,11,6,8
5YR,3,4,14,5,6
5YR,3,6,16,5,4
5YR,3,8,19,4,3
7.5YR,3,2,11,6,7
7.5YR,3,4,13,6,5
7.5YR,3,6,15,5,4
7.5YR,3,8,17,5,3
10YR,3,2,10,6,7
10YR,3,4,12,6,5
10YR,3,6,14,6,4
10YR,3,8,15,5,2
2.5Y,3,2,9,7,7
2.5Y,3,4,11,6,5
2.5Y,3,6,12,6,3
5Y,3,2,9,7,7
5Y,3,4,10,7,5
5Y,3,6,11,7,3
7.5Y,3,2,8,7,7
7.5Y,3,4,9,7,5
7.5Y,3,6,10,7,3
10Y,3,2,8,7,7
10Y,3,4,8,7,5
10Y,3,6,8,7,3
2.5GY,3,2,7,7,7
2.5GY,3,4,7,8,5
2.5GY,3,6,7,8,3
5GY,3,2,7,7,8
5GY,3,4,6,8,5
5GY,3,6,5,8,4
5GY,3,8,5,9,2
7.5GY,3,2,6,7,8
7.5GY,3,4,5,8,6
7.5GY,3,6,4,9,4
7.5GY,3,8,2,9,3
7.5GY,3,10,1,10,2
10GY,3,2,6,8,9
10GY,3,4,4,8,7
10GY,3,6,2,9,5
10GY,3,8,1,9,4
10GY,3,10,0,10,3
10GY,3,12,0,10,3
10GY,3,14,0,11,2
2.5G,3,2,5,8,9
2.5G,3,4,3,8,8
2.5G,3,6,1,9,7
2.5G,3,8,0,10,6
2.5G,3,10,0,10,5
2.5G,3,12,0,11,5
2.5G,3,14,0,11,5
2.5G,3,16,0,12,4
2.5G,3,18,0,12,4
2.5G,3,20,0,12,4
2.5G,3,22,0,13,4
5G,3,2,5,8,9
5G,3,4,3,8,9
5G,3,6,0,9,8
5G,3,8,0,10,7
5G,3,10,0,10,7
5G,3,12,0,11,7
5G,3,14,0,11,6
5G,3,16,0,12,6
5G,3,18,0,12,6
5G,3,20,0,12,6
5G,3,22,0,13,6
7.5G,3,2,5,8,10
7.5G,3,4,2,9,9
7.5G,3,6,0,9,9
7.5G,3,8,0,10,8
7.5G,3,10,0,10,8
7.5G,3,12,0,11,8
7.5G,3,14,0,11,8
7.5G,3,16,0,12,8
7.5G,3,18,0,12,8
7.5G,3,20,0,12,8
7.5G,3,22,0,13,8
10G,3,2,5,8,10
10G,3,4,2,9,10
10G,3,6,0,9,10
10G,3,8,0,10,10
10G,3,10,0,10,10
10G,3,12,0,11,10
10G,3,14,0,11,10
10G,3,16,0,12,10
10G,3,18,0,12,10
10G,3,20,0,12,10
10G,3,22,0,13,10
2.5BG,3,2,5,8,10
2.5BG,3,4,2,9,11
2.5BG,3,6,0,9,11
2.5BG,3,8,0,10,11
2.5BG,3,10,0,10,11
2.5BG,3,12,0,11,12
2.5BG,3,14,0,11,12
2.5BG,3,16,0,12,12
2.5BG,3,18,0,12,13
2.5BG,3,20,0,12,13
5BG,3,2,5,8,11
5BG,3,4,1,9,12
5BG,3,6,0,9,12
5BG,3,8,0,10,13
5BG,3,10,0,10,14
5BG,3,12,0,11,15
5BG,3,14,0,11,16
5BG,3,16,0,12,17
5BG,3,18,0,12,17
7.5BG,3,2,4,8,11
7.5BG,3,4,1,8,13
7.5BG,3,6,0,9,14
7.5BG,3,8,0,10,15
7.5BG,3,10,0,10,17
7.5BG,3,12,0,11,18
7.5BG,3,14,0,11,19
7.5BG,3,16,0,12,20
10BG,3,2,4,8,12
10BG,3,4,1,8,14
10BG,3,6,0,9,16
10BG,3,8,0,10,18
10BG,3,10,0,10,20
10BG,3,12,0,11,22
10BG,3,14,0,11,25
2.5B,3,2,4,8,12
2.5B,3,4,1,8,15
2.5B,3,6,0,9,18
2.5B,3,8,0,9,20
2.5B,3,10,0,10,24
2.5B,3,12,0,11,27
5B,3,2,4,8,13
5B,3,4,2,8,16
5B,3,6,0,9,19
5B,3,8,0,9,23
5B,3,10,0,10,27
5B,3,12,0,10,32
7.5B,3,2,5,7,13
7.5B,3,4,2,8,17
7.5B,3,6,0,8,20
7.5B,3,8,0,9,25
7.5B,3,10,0,9,29
7.5B,3,12,0,9,35
10B,3,2,5,7,13
10B,3,4,3,8,17
10B,3,6,0,8,21
10B,3,8,0,8,26
10B,3,10,0,8,31
10B,3,12,0,9,37
10B,3,14,0,9,43
2.5PB,3,2,6,7,14
2.5PB,3,4,4,7,17
2.5PB,3,6,2,7,22
2.5PB,3,8,0,8,26
2.5PB,3,10,0,8,32
2.5PB,3,12,0,8,38
2.5PB,3,14,0,8,45
5PB,3,2,6,7,14
5PB,3,4,5,7,18
5PB,3,6,3,7,22
5PB,3,8,2,7,26
5PB,3,10,0,7,32
5PB,3,12,0,7,38
5PB,3,14,0,7,46
5PB,3,16,0,7,54
5PB,3,18,0,6,63
7.5PB,3,2,7,7,14
7.5PB,3,4,6,6,18
7.5PB,3,6,6,6,22
7.5PB,3,8,5,6,26
7.5PB,3,10,4,6,31
7.5PB,3,12,4,5,37
7.5PB,3,14,4,5,43
7.5PB,3,16,4,4,50
7.5PB,3,18,4,3,56
7.5PB,3,20,4,3,62
7.5PB,3,22,4,2,69
7.5PB,3,24,5,1,77
7.5PB,3,26,5,0,84
7.5PB,3,28,6,0,91
7.5PB,3,30,6,0,100
7.5PB,3,32,7,0,110
7.5PB,3,34,8,0,117
10PB,3,2,8,6,14
10PB,3,4,8,6,17
10PB,3,6,8,6,21
10PB,3,8,8,5,25
10PB,3,10,8,5,30
10PB,3,12,9,4,34
10PB,3,14,10,3,39
10PB,3,16,10,3,45
10PB,3,18,11,2,50
10PB,3,20,12,1,55
10PB,3,22,13,0,61
10PB,3,24,14,0,68
10PB,3,26,15,0,75
10PB,3,28,17,0,82
10PB,3,30,18,0,89
10PB,3,32,20,0,99
10PB,3,34,22,0,108
2.5P,3,2,8,6,14
2.5P,3,4,9,6,17
2.5P,3,6,10,5,20
2.5P,3,8,11,5,23
2.5P,3,10,12,4,27
2.5P,3,12,13,3,31
2.5P,3,14,14,2,35
2.5P,3,16,16,1,40
2.5P,3,18,17,1,44
2.5P,3,20,19,0,49
2.5P,3,22,20,0,54
2.5P,3,24,22,0,60
2.5P,3,26,24,0,66
2.5P,3,28,27,0,73
2.5P,3,30,29,0,80
2.5P,3,32,32,0,88
2.5P,3,34,34,0,96
5P,3,2,9,6,13
5P,3,4,10,6,16
5P,3,6,11,5,19
5P,3,8,13,4,22
5P,3,10,14,3,25
5P,3,12,16,3,28
5P,3,14,18,2,32
5P,3,16,20,1,36
5P,3,18,22,0,39
5P,3,20,23,0,43
5P,3,22,26,0,48
5P,3,24,29,0,54
5P,3,26,31,0,59
5P,3,28,34,0,65
5P,3,30,38,0,71
5P,3,32,41,0,78
7.5P,3,2,9,6,13
7.5P,3,4,11,5,15
7.5P,3,6,13,5,17
7.5P,3,8,15,4,20
7.5P,3,10,17,3,22
7.5P,3,12,19,2,26
7.5P,3,14,21,1,29
7.5P,3,16,23,0,32
7.5P,3,18,26,0,35
7.5P,3,20,28,0,38
7.5P,3,22,31,0,42
7.5P,3,24,35,0,47
7.5P,3,26,38,0,51
7.5P,3,28,42,0,57
7.5P,3,30,46,0,62
10P,3,2,10,6,12
10P,3,4,12,5,14
10P,3,6,14,4,16
10P,3,8,17,3,18
10P,3,10,19,2,20
10P,3,12,22,1,23
10P,3,14,24,0,25
10P,3,16,27,0,28
10P,3,18,30,0,31
10P,3,20,33,0,33
10P,3,22,37,0,36
10P,3,24,40,0,40
10P,3,26,44,0,43
2.5RP,3,2,10,6,12
2.5RP,3,4,13,5,13
2.5RP,3,6,16,4,14
2.5RP,3,8,19,3,15
2.5RP,3,10,22,2,17
2.5RP,3,12,25,1,18
2.5RP,3,14,28,0,20
2.5RP,3,16,32,0,22
2.5RP,3,18,36,0,24
2.5RP,3,20,39,0,26
2.5RP,3,22,44,0,28
5RP,3,2,11,6,11
5RP,3,4,14,5,12
5RP,3,6,17,4,12
5RP,3,8,20,3,13
5RP,3,10,24,2,14
5RP,3,12,27,1,15
5RP,3,14,31,0,16
5RP,3,16,35,0,17
5RP,3,18,40,0,18
5RP,3,20,44,0,20
7.5RP,3,2,11,6,10
7.5RP,3,4,14,5,11
7.5RP,3,6,18,4,11
7.5RP,3,8,22,3,11
7.5RP,3,10,25,1,11
7.5RP,3,12,29,0,12
7.5RP,3,14,34,0,12
7.5RP,3,16,38,0,13
7.5RP,3,18,43,0,14
10RP,4,2,18,11,18
10RP,4,4,23,9,17
10RP,4,6,28,8,17
10RP,4,8,34,6,16
10RP,4,10,39,5,16
10RP,4,12,45,3,16
10RP,4,14,51,1,16
10RP,4,16,57,0,16
10RP,4,18,65,0,15
10RP,4,20,72,0,16
2.5R,4,2,18,11,17
2.5R,4,4,24,9,16
2.5R,4,6,29,8,15
2.5R,4,8,34,6,14
2.5R,4,10,40,5,14
2.5R,4,12,46,3,13
2.5R,4,14,52,1,12
2.5R,4,16,59,0,12
5R,4,2,19,11,17
5R,4,4,24,9,15
5R,4,6,29,8,14
5R,4,8,35,6,12
5R,4,10,40,5,11
5R,4,12,46,3,10
5R,4,14,53,1,9
5R,4,16,59,0,8
5R,4,18,66,0,8
7.5R,4,2,19,11,16
7.5R,4,4,24,9,14
7.5R,4,6,29,8,12
7.5R,4,8,35,6,11
7.5R,4,10,40,5,9
7.5R,4,12,46,4,8
7.5R,4,14,52,2,7
7.5R,4,16,57,0,6
7.5R,4,18,63,0,6
7.5R,4,20,70,0,5
10R,4,2,19,11,16
10R,4,4,24,9,13
10R,4,6,29,8,11
10R,4,8,34,7,9
10R,4,10,39,6,8
10R,4,12,44,4,6
10R,4,14,49,3,5
10R,4,16,52,2,4
2.5YR,4,2,19,11,15
2.5YR,4,4,24,10,12
2.5YR,4,6,28,9,10
2.5YR,4,8,32,8,8
2.5YR,4,10,36,7,6
2.5YR,4,12,39,6,5
5YR,4,2,18,11,14
5YR,4,4,23,10,11
5YR,4,6,27,9,9
5YR,4,8,30,8,7
5YR,4,10,33,8,5
5YR,4,12,35,7,4
7.5YR,4,2,18,11,14
7.5YR,4,4,22,10,10
7.5YR,4,6,25,10,8
7.5YR,4,8,28,9,6
7.5YR,4,10,30,9,5
10YR,4,2,17,12,13
10YR,4,4,20,11,10
10YR,4,6,23,10,7
10YR,4,8,25,10,5
10YR,4,10,26,10,4
2.5Y,4,2,16,12,13
2.5Y,4,4,19,11,9
2.5Y,4,6,21,11,7
2.5Y,4,8,22,11,5
2.5Y,4,10,23,11,4
5Y,4,2,15,12,13
5Y,4,4,17,12,9
5Y,4,6,19,12,6
5Y,4,8,20,12,5
7.5Y,4,2,15,12,13
7.5Y,4,4,16,12,9
7.5Y,4,6,17,12,6
7.5Y,4,8,17,12,5
10Y,4,2,13,13,13
10Y,4,4,14,13,9
10Y,4,6,15,13,6
10Y,4,8,15,13,5
2.5GY,4,2,13,13,14
2.5GY,4,4,13,13,9
2.5GY,4,6,12,14,7
2.5GY,4,8,12,14,5
5GY,4,2,12,13,14
5GY,4,4,11,14,10
5GY,4,6,10,14,7
5GY,4,8,9,15,5
5GY,4,10,8,15,4
7.5GY,4,2,11,13,15
7.5GY,4,4,9,14,11
7.5GY,4,6,7,15,9
7.5GY,4,8,5,16,6
7.5GY,4,10,4,16,5
7.5GY,4,12,2,17,4
10GY,4,2,10,13,15
10GY,4,4,8,14,13
10GY,4,6,5,15,10
10GY,4,8,3,16,8
10GY,4,10,0,17,6
10GY,4,12,0,18,5
10GY,4,14,0,19,4
10GY,4,16,0,19,4
2.5G,4,2,10,13,16
2.5G,4,4,6,15,14
2.5G,4,6,3,16,13
2.5G,4,8,0,17,11
2.5G,4,10,0,18,10
2.5G,4,12,0,19,9
2.5G,4,14,0,19,8
2.5G,4,16,0,20,8
2.5G,4,18,0,21,7
2.5G,4,20,0,21,7
2.5G,4,22,0,21,7
2.5G,4,24,0,22,7
2.5G,4,26,0,22,6
5G,4,2,9,13,17
5G,4,4,6,15,15
5G,4,6,2,16,14
5G,4,8,0,17,13
5G,4,10,0,18,13
5G,4,12,0,19,12
5G,4,14,0,20,12
5G,4,16,0,20,11
5G,4,18,0,21,11
5G,4,20,0,21,11
5G,4,22,0,22,11
5G,4,24,0,22,11
5G,4,26,0,23,11
7.5G,4,2,9,13,17
7.5G,4,4,5,15,16
7.5G,4,6,1,16,16
7.5G,4,8,0,17,15
7.5G,4,10,0,18,15
7.5G,4,12,0,19,14
7.5G,4,14,0,20,14
7.5G,4,16,0,20,14
7.5G,4,18,0,21,14
7.5G,4,20,0,21,14
7.5G,4,22,0,22,14
7.5G,4,24,0,22,14
7.5G,4,26,0,23,13
10G,4,2,9,14,18
10G,4,4,5,15,18
10G,4,6,1,16,17
10G,4,8,0,17,17
10G,4,10,0,18,17
10G,4,12,0,19,17
10G,4,14,0,20,17
10G,4,16,0,20,17
10G,4,18,0,21,17
10G,4,20,0,21,17
10G,4,22,0,22,17
10G,4,24,0,22,17
10G,4,26,0,23,17
2.5BG,4,2,9,14,19
2.5BG,4,4,4,15,19
2.5BG,4,6,0,16,19
2.5BG,4,8,0,17,19
2.5BG,4,10,0,18,20
2.5BG,4,12,0,19,20
2.5BG,4,14,0,20,20
2.5BG,4,16,0,20,21
2.5BG,4,18,0,21,21
2.5BG,4,20,0,21,21
2.5BG,4,22,0,22,22
2.5BG,4,24,0,22,22
5BG,4,2,9,13,19
5BG,4,4,4,15,20
