H,V,C,R,G,B
5BG,4,6,0,16,21
5BG,4,8,0,17,22
5BG,4,10,0,18,24
5BG,4,12,0,19,25
5BG,4,14,0,20,26
5BG,4,16,0,20,27
5BG,4,18,0,21,28
5BG,4,20,0,21,29
7.5BG,4,2,8,13,20
7.5BG,4,4,4,15,22
7.5BG,4,6,0,16,24
7.5BG,4,8,0,17,25
7.5BG,4,10,0,18,28
7.5BG,4,12,0,19,29
7.5BG,4,14,0,20,31
7.5BG,4,16,0,20,33
7.5BG,4,18,0,21,34
10BG,4,2,8,13,21
10BG,4,4,4,14,23
10BG,4,6,0,16,26
10BG,4,8,0,17,29
10BG,4,10,0,18,32
10BG,4,12,0,18,35
10BG,4,14,0,19,38
10BG,4,16,0,20,41
2.5B,4,2,9,13,21
2.5B,4,4,4,14,25
2.5B,4,6,0,15,28
2.5B,4,8,0,16,32
2.5B,4,10,0,17,37
2.5B,4,12,0,18,41
2.5B,4,14,0,19,46
2.5B,4,16,0,20,49
5B,4,2,9,13,22
5B,4,4,5,14,26
5B,4,6,1,15,30
5B,4,8,0,16,35
5B,4,10,0,16,41
5B,4,12,0,17,47
5B,4,14,0,18,54
7.5B,4,2,9,13,22
7.5B,4,4,6,14,27
7.5B,4,6,2,14,31
7.5B,4,8,0,15,37
7.5B,4,10,0,15,43
7.5B,4,12,0,16,50
7.5B,4,14,0,17,58
10B,4,2,10,13,22
10B,4,4,7,13,27
10B,4,6,3,14,32
10B,4,8,0,14,38
10B,4,10,0,15,45
10B,4,12,0,15,52
10B,4,14,0,16,61
10B,4,16,0,16,70
2.5PB,4,2,11,13,23
2.5PB,4,4,8,13,28
2.5PB,4,6,5,13,33
2.5PB,4,8,2,13,39
2.5PB,4,10,0,14,46
2.5PB,4,12,0,14,53
2.5PB,4,14,0,14,62
2.5PB,4,16,0,14,72
2.5PB,4,18,0,14,83
5PB,4,2,11,12,23
5PB,4,4,10,12,28
5PB,4,6,7,12,33
5PB,4,8,5,13,40
5PB,4,10,2,13,47
5PB,4,12,0,13,54
5PB,4,14,0,13,63
5PB,4,16,0,12,73
5PB,4,18,0,12,85
5PB,4,20,0,12,99
7.5PB,4,2,12,12,23
7.5PB,4,4,12,12,28
7.5PB,4,6,11,11,33
7.5PB,4,8,10,11,39
7.5PB,4,10,8,11,46
7.5PB,4,12,7,10,53
7.5PB,4,14,7,10,61
7.5PB,4,16,6,9,70
7.5PB,4,18,6,8,79
7.5PB,4,20,5,7,90
7.5PB,4,22,5,6,99
7.5PB,4,24,6,5,109
7.5PB,4,26,6,4,120
10PB,4,2,13,12,23
10PB,4,4,13,11,27
10PB,4,6,14,11,32
10PB,4,8,14,10,38
10PB,4,10,14,9,44
10PB,4,12,14,9,50
10PB,4,14,15,8,57
10PB,4,16,15,7,64
10PB,4,18,16,6,71
10PB,4,20,17,5,80
10PB,4,22,18,4,86
10PB,4,24,19,3,94
10PB,4,26,21,1,104
10PB,4,28,22,0,113
10PB,4,30,24,0,123
2.5P,4,2,14,11,23
2.5P,4,4,15,11,27
2.5P,4,6,16,10,31
2.5P,4,8,17,9,36
2.5P,4,10,18,8,40
2.5P,4,12,20,7,46
2.5P,4,14,21,6,51
2.5P,4,16,23,5,57
2.5P,4,18,25,4,64
2.5P,4,20,27,3,71
2.5P,4,22,29,2,76
2.5P,4,24,31,0,83
2.5P,4,26,33,0,91
2.5P,4,28,36,0,99
2.5P,4,30,38,0,108
2.5P,4,32,42,0,119
5P,4,2,15,11,22
5P,4,4,16,10,26
5P,4,6,18,10,29
5P,4,8,20,9,33
5P,4,10,22,8,38
5P,4,12,24,7,42
5P,4,14,26,5,47
5P,4,16,29,4,52
5P,4,18,31,3,57
5P,4,20,34,1,63
5P,4,22,37,0,68
5P,4,24,40,0,74
5P,4,26,43,0,81
5P,4,28,47,0,89
5P,4,30,50,0,96
5P,4,32,55,0,105
7.5P,4,2,16,11,22
7.5P,4,4,18,10,25
7.5P,4,6,20,9,27
7.5P,4,8,23,8,31
7.5P,4,10,26,7,34
7.5P,4,12,28,6,38
7.5P,4,14,32,4,42
7.5P,4,16,35,3,46
7.5P,4,18,38,1,51
7.5P,4,20,42,0,55
7.5P,4,22,45,0,60
7.5P,4,24,49,0,64
7.5P,4,26,53,0,70
7.5P,4,28,58,0,76
7.5P,4,30,63,0,83
7.5P,4,32,69,0,91
10P,4,2,16,11,21
10P,4,4,19,10,23
10P,4,6,22,9,25
10P,4,8,26,8,28
10P,4,10,29,6,31
10P,4,12,33,5,33
10P,4,14,36,3,36
10P,4,16,40,2,39
10P,4,18,45,0,43
10P,4,20,50,0,48
10P,4,22,54,0,51
10P,4,24,58,0,54
10P,4,26,63,0,59
10P,4,28,68,0,63
10P,4,30,76,0,69
2.5RP,4,2,17,11,20
2.5RP,4,4,21,10,22
2.5RP,4,6,24,8,23
2.5RP,4,8,29,7,25
2.5RP,4,10,32,6,27
2.5RP,4,12,37,4,28
2.5RP,4,14,41,3,30
2.5RP,4,16,46,1,32
2.5RP,4,18,51,0,35
2.5RP,4,20,57,0,38
2.5RP,4,22,62,0,40
2.5RP,4,24,68,0,43
2.5RP,4,26,73,0,45
5RP,4,2,18,11,19
5RP,4,4,22,10,20
5RP,4,6,26,8,21
5RP,4,8,31,7,21
5RP,4,10,35,5,22
5RP,4,12,41,4,23
5RP,4,14,46,2,24
5RP,4,16,51,0,25
5RP,4,18,57,0,27
5RP,4,20,64,0,28
5RP,4,22,70,0,29
7.5RP,4,2,18,11,18
7.5RP,4,4,23,9,18
7.5RP,4,6,28,8,18
7.5RP,4,8,33,6,19
7.5RP,4,10,38,5,19
7.5RP,4,12,43,3,19
7.5RP,4,14,49,2,19
7.5RP,4,16,55,0,20
7.5RP,4,18,62,0,21
7.5RP,4,20,69,0,21
10RP,5,2,27,18,29
10RP,5,4,34,16,28
10RP,5,6,41,14,27
10RP,5,8,49,12,26
10RP,5,10,56,10,26
10RP,5,12,64,7,25
10RP,5,14,71,5,25
10RP,5,16,80,3,25
10RP,5,18,89,0,24
10RP,5,20,98,0,24
2.5R,5,2,27,18,29
2.5R,5,4,35,16,27
2.5R,5,6,42,14,25
2.5R,5,8,50,12,24
2.5R,5,10,57,10,23
2.5R,5,12,66,7,21
2.5R,5,14,73,5,21
2.5R,5,16,82,3,20
2.5R,5,18,91,0,19
2.5R,5,20,101,0,18
5R,5,2,28,18,28
5R,5,4,35,16,26
5R,5,6,43,14,23
5R,5,8,50,12,21
5R,5,10,58,10,19
5R,5,12,66,8,18
5R,5,14,74,6,16
5R,5,16,83,3,15
5R,5,18,92,1,14
5R,5,20,100,0,13
7.5R,5,2,28,18,27
7.5R,5,4,35,16,24
7.5R,5,6,43,14,21
7.5R,5,8,50,12,19
7.5R,5,10,58,10,16
7.5R,5,12,66,8,14
7.5R,5,14,73,6,13
7.5R,5,16,81,4,11
7.5R,5,18,89,2,10
7.5R,5,20,96,0,9
10R,5,2,28,18,26
10R,5,4,35,16,23
10R,5,6,43,15,19
10R,5,8,50,13,16
10R,5,10,57,11,13
10R,5,12,64,9,11
10R,5,14,69,8,9
10R,5,16,75,6,8
10R,5,18,81,4,7
2.5YR,5,2,28,18,25
2.5YR,5,4,35,17,21
2.5YR,5,6,42,15,17
2.5YR,5,8,48,13,14
2.5YR,5,10,54,12,11
2.5YR,5,12,58,11,9
2.5YR,5,14,62,10,8
2.5YR,5,16,65,9,7
5YR,5,2,28,18,25
5YR,5,4,34,17,20
5YR,5,6,40,16,16
5YR,5,8,45,14,12
5YR,5,10,50,13,10
5YR,5,12,53,13,8
5YR,5,14,56,12,7
7.5YR,5,2,27,19,24
7.5YR,5,4,33,18,19
7.5YR,5,6,38,16,14
7.5YR,5,8,42,15,11
7.5YR,5,10,45,15,9
7.5YR,5,12,48,14,7
7.5YR,5,14,49,14,6
10YR,5,2,27,19,23
10YR,5,4,31,18,17
10YR,5,6,35,17,13
10YR,5,8,39,17,10
10YR,5,10,41,16,8
10YR,5,12,42,16,7
2.5Y,5,2,26,19,23
2.5Y,5,4,29,19,17
2.5Y,5,6,32,18,12
2.5Y,5,8,35,18,9
2.5Y,5,10,36,18,8
2.5Y,5,12,38,17,6
5Y,5,2,24,20,22
5Y,5,4,27,20,16
5Y,5,6,29,19,12
5Y,5,8,31,19,9
5Y,5,10,32,19,7
5Y,5,12,33,19,6
7.5Y,5,2,23,20,22
7.5Y,5,4,25,20,16
7.5Y,5,6,27,20,11
7.5Y,5,8,27,20,9
7.5Y,5,10,28,20,7
7.5Y,5,12,29,20,6
10Y,5,2,22,20,22
10Y,5,4,23,21,16
10Y,5,6,24,21,11
10Y,5,8,24,21,9
10Y,5,10,24,21,7
10Y,5,12,25,21,6
2.5GY,5,2,21,21,23
2.5GY,5,4,21,21,17
2.5GY,5,6,20,22,12
2.5GY,5,8,20,22,9
2.5GY,5,10,20,23,7
2.5GY,5,12,20,23,6
5GY,5,2,20,21,23
5GY,5,4,19,22,18
5GY,5,6,17,23,13
5GY,5,8,16,23,10
5GY,5,10,15,24,8
5GY,5,12,14,24,6
7.5GY,5,2,18,21,25
7.5GY,5,4,16,22,20
7.5GY,5,6,13,24,15
7.5GY,5,8,11,25,12
7.5GY,5,10,8,26,9
7.5GY,5,12,6,27,7
7.5GY,5,14,4,27,6
10GY,5,2,17,21,26
10GY,5,4,14,23,22
10GY,5,6,10,24,18
10GY,5,8,7,26,15
10GY,5,10,4,27,12
10GY,5,12,1,28,10
10GY,5,14,0,29,8
10GY,5,16,0,30,7
10GY,5,18,0,31,6
2.5G,5,2,16,22,27
2.5G,5,4,12,23,24
2.5G,5,6,8,25,21
2.5G,5,8,3,26,19
2.5G,5,10,0,28,17
2.5G,5,12,0,29,16
2.5G,5,14,0,30,14
2.5G,5,16,0,31,13
2.5G,5,18,0,32,12
2.5G,5,20,0,33,11
2.5G,5,22,0,34,11
2.5G,5,24,0,35,10
2.5G,5,26,0,35,10
2.5G,5,28,0,36,10
5G,5,2,16,22,28
5G,5,4,11,23,26
5G,5,6,6,25,24
5G,5,8,1,27,22
5G,5,10,0,28,21
5G,5,12,0,29,20
5G,5,14,0,30,19
5G,5,16,0,32,19
5G,5,18,0,33,18
5G,5,20,0,33,18
5G,5,22,0,34,18
5G,5,24,0,35,17
5G,5,26,0,35,17
5G,5,28,0,36,17
7.5G,5,2,15,22,29
7.5G,5,4,10,23,27
7.5G,5,6,5,25,26
7.5G,5,8,0,27,25
7.5G,5,10,0,28,24
7.5G,5,12,0,30,23
7.5G,5,14,0,31,23
7.5G,5,16,0,32,23
7.5G,5,18,0,33,22
7.5G,5,20,0,33,22
7.5G,5,22,0,34,22
7.5G,5,24,0,35,22
7.5G,5,26,0,36,22
7.5G,5,28,0,36,21
10G,5,2,15,22,29
10G,5,4,9,23,29
10G,5,6,4,25,28
10G,5,8,0,27,27
10G,5,10,0,28,27
10G,5,12,0,30,27
10G,5,14,0,31,27
10G,5,16,0,32,27
10G,5,18,0,33,26
10G,5,20,0,34,26
10G,5,22,0,34,27
10G,5,24,0,35,27
10G,5,26,0,36,27
10G,5,28,0,36,27
2.5BG,5,2,15,22,30
2.5BG,5,4,9,23,30
2.5BG,5,6,4,25,30
2.5BG,5,8,0,27,30
2.5BG,5,10,0,28,31
2.5BG,5,12,0,30,31
2.5BG,5,14,0,31,32
2.5BG,5,16,0,32,32
2.5BG,5,18,0,33,33
2.5BG,5,20,0,34,33
2.5BG,5,22,0,34,34
2.5BG,5,24,0,35,34
5BG,5,2,15,22,31
5BG,5,4,9,23,32
5BG,5,6,3,25,33
5BG,5,8,0,26,35
5BG,5,10,0,28,36
5BG,5,12,0,29,38
5BG,5,14,0,30,39
5BG,5,16,0,32,40
5BG,5,18,0,33,42
5BG,5,20,0,34,43
5BG,5,22,0,34,44
7.5BG,5,2,15,22,32
7.5BG,5,4,9,23,34
7.5BG,5,6,3,25,36
7.5BG,5,8,0,26,38
7.5BG,5,10,0,28,41
7.5BG,5,12,0,29,44
7.5BG,5,14,0,30,46
7.5BG,5,16,0,32,48
7.5BG,5,18,0,33,51
10BG,5,2,15,21,33
10BG,5,4,9,23,36
10BG,5,6,3,24,39
10BG,5,8,0,26,43
10BG,5,10,0,27,47
10BG,5,12,0,29,51
10BG,5,14,0,30,55
10BG,5,16,0,31,59
2.5B,5,2,15,21,34
2.5B,5,4,9,23,38
2.5B,5,6,3,24,42
2.5B,5,8,0,25,47
2.5B,5,10,0,27,52
2.5B,5,12,0,28,58
2.5B,5,14,0,29,64
2.5B,5,16,0,31,70
5B,5,2,16,21,34
5B,5,4,10,22,39
5B,5,6,4,23,45
5B,5,8,0,24,51
5B,5,10,0,26,58
5B,5,12,0,27,66
5B,5,14,0,28,74
5B,5,16,0,29,84
7.5B,5,2,16,21,35
7.5B,5,4,11,22,40
7.5B,5,6,6,23,47
7.5B,5,8,1,24,54
7.5B,5,10,0,24,61
7.5B,5,12,0,25,71
7.5B,5,14,0,26,80
7.5B,5,16,0,27,92
10B,5,2,17,21,35
10B,5,4,13,21,41
10B,5,6,8,22,48
10B,5,8,3,23,55
10B,5,10,0,23,64
10B,5,12,0,24,73
10B,5,14,0,25,84
10B,5,16,0,26,96
10B,5,18,0,26,107
2.5PB,5,2,18,20,36
2.5PB,5,4,14,21,42
2.5PB,5,6,11,21,49
2.5PB,5,8,7,21,57
2.5PB,5,10,3,22,65
2.5PB,5,12,0,22,75
2.5PB,5,14,0,23,86
2.5PB,5,16,0,23,99
2.5PB,5,18,0,23,113
5PB,5,2,19,20,36
5PB,5,4,17,20,42
5PB,5,6,14,20,49
5PB,5,8,10,20,57
5PB,5,10,7,20,66
5PB,5,12,3,21,76
5PB,5,14,0,21,87
5PB,5,16,0,21,100
5PB,5,18,0,21,115
7.5PB,5,2,20,20,36
7.5PB,5,4,19,19,42
7.5PB,5,6,18,19,49
7.5PB,5,8,16,19,57
7.5PB,5,10,15,18,65
7.5PB,5,12,13,18,75
7.5PB,5,14,12,17,85
7.5PB,5,16,10,16,96
7.5PB,5,18,9,16,110
7.5PB,5,20,7,14,124
10PB,5,2,21,19,35
10PB,5,4,21,19,41
10PB,5,6,21,18,48
10PB,5,8,21,17,55
10PB,5,10,22,16,62
10PB,5,12,22,16,71
10PB,5,14,22,15,80
10PB,5,16,22,13,90
10PB,5,18,23,12,99
10PB,5,20,24,11,109
10PB,5,22,25,10,121
2.5P,5,2,22,19,35
2.5P,5,4,23,18,40
2.5P,5,6,25,17,46
2.5P,5,8,26,16,53
2.5P,5,10,27,15,59
2.5P,5,12,29,14,66
2.5P,5,14,31,13,73
2.5P,5,16,33,11,80
2.5P,5,18,35,10,88
2.5P,5,20,38,8,97
2.5P,5,22,40,7,106
2.5P,5,24,43,5,116
2.5P,5,26,46,3,126
5P,5,2,23,19,34
5P,5,4,25,18,39
5P,5,6,27,17,44
5P,5,8,30,15,50
5P,5,10,32,14,55
5P,5,12,35,13,61
5P,5,14,38,11,67
5P,5,16,41,10,74
5P,5,18,44,8,80
5P,5,20,47,6,87
5P,5,22,51,4,95
5P,5,24,55,2,104
5P,5,26,59,0,112
5P,5,28,64,0,122
7.5P,5,2,24,19,34
7.5P,5,4,27,17,37
7.5P,5,6,31,16,41
7.5P,5,8,35,14,46
7.5P,5,10,38,13,50
7.5P,5,12,42,11,55
7.5P,5,14,46,10,60
7.5P,5,16,50,8,65
7.5P,5,18,54,6,70
7.5P,5,20,59,4,76
7.5P,5,22,64,2,83
7.5P,5,24,68,0,88
7.5P,5,26,74,0,96
7.5P,5,28,79,0,103
7.5P,5,30,86,0,111
10P,5,2,25,18,33
10P,5,4,29,17,36
10P,5,6,34,15,39
10P,5,8,38,13,42
10P,5,10,43,12,45
10P,5,12,48,10,49
10P,5,14,52,8,53
10P,5,16,58,6,56
10P,5,18,63,4,61
10P,5,20,69,2,65
10P,5,22,75,0,69
10P,5,24,81,0,74
10P,5,26,88,0,80
10P,5,28,94,0,85
10P,5,30,102,0,91
2.5RP,5,2,26,18,32
2.5RP,5,4,31,17,34
2.5RP,5,6,36,15,36
2.5RP,5,8,42,13,38
2.5RP,5,10,47,11,40
2.5RP,5,12,53,9,43
2.5RP,5,14,59,7,45
2.5RP,5,16,65,5,47
2.5RP,5,18,72,3,50
2.5RP,5,20,78,1,53
2.5RP,5,22,86,0,56
2.5RP,5,24,92,0,59
2.5RP,5,26,100,0,62
5RP,5,2,26,18,31
5RP,5,4,32,16,31
5RP,5,6,39,14,32
5RP,5,8,45,12,33
5RP,5,10,52,10,34
5RP,5,12,59,8,35
5RP,5,14,65,6,36
5RP,5,16,73,4,37
5RP,5,18,80,1,38
5RP,5,20,88,0,40
5RP,5,22,96,0,41
5RP,5,24,105,0,42
7.5RP,5,2,27,18,30
7.5RP,5,4,33,16,30
7.5RP,5,6,40,14,30
7.5RP,5,8,47,12,30
7.5RP,5,10,54,10,30
7.5RP,5,12,62,8,30
7.5RP,5,14,69,6,30
7.5RP,5,16,77,3,31
7.5RP,5,18,85,1,31
7.5RP,5,20,94,0,32
7.5RP,5,22,102,0,32
10RP,6,2,39,28,44
10RP,6,4,48,25,43
10RP,6,6,57,23,42
10RP,6,8,65,20,41
10RP,6,10,75,18,39
10RP,6,12,85,15,38
10RP,6,14,95,12,38
10RP,6,16,107,8,37
10RP,6,18,117,5,36
2.5R,6,2,40,28,44
2.5R,6,4,49,25,41
2.5R,6,6,58,23,39
2.5R,6,8,67,20,37
2.5R,6,10,77,18,35
2.5R,6,12,87,15,33
2.5R,6,14,97,12,32
2.5R,6,16,109,8,31
2.5R,6,18,120,5,29
5R,6,2,40,28,43
5R,6,4,49,25,40
5R,6,6,59,23,36
5R,6,8,68,20,34
5R,6,10,78,18,31
5R,6,12,88,15,29
5R,6,14,98,12,27
5R,6,16,109,9,25
5R,6,18,120,6,23
7.5R,6,2,41,28,42
7.5R,6,4,50,25,38
7.5R,6,6,59,23,34
7.5R,6,8,68,21,30
7.5R,6,10,79,18,27
7.5R,6,12,88,15,24
7.5R,6,14,98,13,21
7.5R,6,16,108,10,19
7.5R,6,18,118,7,17
10R,6,2,41,28,41
10R,6,4,50,25,35
10R,6,6,59,23,31
10R,6,8,68,21,27
10R,6,10,77,19,23
10R,6,12,86,16,19
10R,6,14,95,14,16
10R,6,16,103,12,14
10R,6,18,111,10,12
2.5YR,6,2,41,28,39
2.5YR,6,4,49,26,33
2.5YR,6,6,58,24,28
2.5YR,6,8,66,22,24
2.5YR,6,10,74,20,20
2.5YR,6,12,81,18,16
2.5YR,6,14,88,17,14
2.5YR,6,16,92,15,12
2.5YR,6,18,96,14,10
5YR,6,2,41,28,38
5YR,6,4,48,26,32
5YR,6,6,56,25,26
5YR,6,8,63,23,21
5YR,6,10,70,22,17
5YR,6,12,75,20,14
5YR,6,14,79,19,12
5YR,6,16,82,18,10
5YR,6,18,85,18,9
7.5YR,6,2,40,28,37
7.5YR,6,4,47,27,30
7.5YR,6,6,54,26,24
7.5YR,6,8,59,24,19
7.5YR,6,10,64,23,15
7.5YR,6,12,68,22,12
7.5YR,6,14,71,22,11
7.5YR,6,16,73,21,9
10YR,6,2,39,29,36
10YR,6,4,45,28,28
10YR,6,6,50,27,22
10YR,6,8,55,26,17
10YR,6,10,59,25,14
10YR,6,12,61,25,11
10YR,6,14,63,24,10
2.5Y,6,2,37,29,35
2.5Y,6,4,42,29,27
2.5Y,6,6,46,28,21
2.5Y,6,8,50,27,16
2.5Y,6,10,53,27,13
2.5Y,6,12,55,27,11
2.5Y,6,14,56,26,9
5Y,6,2,36,30,35
5Y,6,4,39,30,26
5Y,6,6,43,29,20
5Y,6,8,45,29,15
5Y,6,10,47,29,12
5Y,6,12,48,29,10
5Y,6,14,49,29,9
7.5Y,6,2,35,30,34
7.5Y,6,4,37,30,26
7.5Y,6,6,39,30,19
7.5Y,6,8,40,30,15
7.5Y,6,10,42,30,12
7.5Y,6,12,42,30,10
7.5Y,6,14,43,30,8
10Y,6,2,34,30,35
10Y,6,4,35,31,26
10Y,6,6,36,31,19
10Y,6,8,36,32,15
10Y,6,10,37,32,12
10Y,6,12,37,32,10
10Y,6,14,37,32,8
2.5GY,6,2,32,31,35
2.5GY,6,4,32,32,27
2.5GY,6,6,31,33,20
2.5GY,6,8,31,33,15
2.5GY,6,10,30,34,12
2.5GY,6,12,30,34,10
2.5GY,6,14,30,34,8
5GY,6,2,30,31,36
5GY,6,4,29,33,28
5GY,6,6,27,34,22
5GY,6,8,25,35,17
5GY,6,10,24,36,13
5GY,6,12,23,36,10
5GY,6,14,22,37,9
7.5GY,6,2,28,32,37
7.5GY,6,4,25,33,31
7.5GY,6,6,22,35,25
7.5GY,6,8,18,36,20
7.5GY,6,10,15,38,16
7.5GY,6,12,13,39,13
7.5GY,6,14,10,40,10
7.5GY,6,16,8,41,9
10GY,6,2,26,32,39
10GY,6,4,22,34,33
10GY,6,6,18,36,28
10GY,6,8,13,38,24
10GY,6,10,9,39,20
10GY,6,12,5,41,17
10GY,6,14,1,42,14
10GY,6,16,0,44,12
10GY,6,18,0,45,10
10GY,6,20,0,46,9
2.5G,6,2,25,32,41
2.5G,6,4,19,35,37
2.5G,6,6,13,37,33
2.5G,6,8,8,39,30
2.5G,6,10,3,40,27
2.5G,6,12,0,42,25
2.5G,6,14,0,44,23
2.5G,6,16,0,45,21
2.5G,6,18,0,47,19
2.5G,6,20,0,48,18
2.5G,6,22,0,49,17
2.5G,6,24,0,50,16
2.5G,6,26,0,52,15
2.5G,6,28,0,52,15
5G,6,2,24,32,42
5G,6,4,17,35,39
5G,6,6,11,37,37
5G,6,8,5,39,35
5G,6,10,0,41,33
5G,6,12,0,43,32
5G,6,14,0,44,30
5G,6,16,0,46,29
5G,6,18,0,47,28
5G,6,20,0,48,28
5G,6,22,0,50,27
5G,6,24,0,51,27
5G,6,26,0,52,26
5G,6,28,0,53,26
7.5G,6,2,24,32,43
7.5G,6,4,16,35,41
7.5G,6,6,10,37,40
7.5G,6,8,4,39,38
7.5G,6,10,0,41,37
7.5G,6,12,0,43,36
7.5G,6,14,0,44,35
7.5G,6,16,0,46,34
7.5G,6,18,0,47,34
7.5G,6,20,0,49,33
7.5G,6,22,0,50,33
7.5G,6,24,0,51,32
7.5G,6,26,0,52,32
7.5G,6,28,0,53,32
10G,6,2,24,32,44
10G,6,4,15,35,43
10G,6,6,9,37,42
10G,6,8,2,39,41
10G,6,10,0,41,41
10G,6,12,0,43,40
10G,6,14,0,44,40
10G,6,16,0,46,40
10G,6,18,0,47,39
10G,6,20,0,49,39
10G,6,22,0,50,39
10G,6,24,0,51,39
10G,6,26,0,52,39
2.5BG,6,2,23,32,45
2.5BG,6,4,15,35,45
2.5BG,6,6,8,37,45
2.5BG,6,8,1,39,45
2.5BG,6,10,0,41,45
2.5BG,6,12,0,43,46
2.5BG,6,14,0,44,46
2.5BG,6,16,0,46,47
2.5BG,6,18,0,47,47
2.5BG,6,20,0,49,48
2.5BG,6,22,0,50,48
5BG,6,2,23,32,47
5BG,6,4,15,35,48
5BG,6,6,7,37,49
5BG,6,8,0,39,50
5BG,6,10,0,41,52
5BG,6,12,0,43,53
5BG,6,14,0,44,55
5BG,6,16,0,46,56
5BG,6,18,0,47,58
5BG,6,20,0,49,59
7.5BG,6,2,23,32,48
7.5BG,6,4,14,35,50
7.5BG,6,6,7,37,53
7.5BG,6,8,0,39,55
7.5BG,6,10,0,40,58
7.5BG,6,12,0,42,61
7.5BG,6,14,0,44,63
7.5BG,6,16,0,46,66
7.5BG,6,18,0,47,69
10BG,6,2,23,32,49
10BG,6,4,15,34,53
10BG,6,6,7,36,57
10BG,6,8,0,38,61
10BG,6,10,0,40,65
10BG,6,12,0,42,70
10BG,6,14,0,43,75
10BG,6,16,0,45,80
10BG,6,18,0,47,84
2.5B,6,2,24,32,50
2.5B,6,4,16,34,55
2.5B,6,6,7,36,60
2.5B,6,8,0,37,66
2.5B,6,10,0,39,72
2.5B,6,12,0,41,79
2.5B,6,14,0,42,86
2.5B,6,16,0,44,94
5B,6,2,25,32,51
5B,6,4,17,33,57
5B,6,6,9,35,64
5B,6,8,1,36,72
5B,6,10,0,38,80
5B,6,12,0,39,89
5B,6,14,0,41,99
5B,6,16,0,42,111
7.5B,6,2,26,31,51
7.5B,6,4,19,33,58
7.5B,6,6,12,34,66
7.5B,6,8,5,35,75
7.5B,6,10,0,36,84
7.5B,6,12,0,37,95
7.5B,6,14,0,39,107
7.5B,6,16,0,40,122
10B,6,2,27,31,52
10B,6,4,21,32,59
10B,6,6,14,33,68
10B,6,8,8,34,77
10B,6,10,2,35,87
10B,6,12,0,36,99
10B,6,14,0,37,113
10B,6,16,0,38,129
2.5PB,6,2,28,30,52
2.5PB,6,4,23,31,59
2.5PB,6,6,18,32,69
2.5PB,6,8,13,32,78
2.5PB,6,10,8,33,89
2.5PB,6,12,1,33,103
2.5PB,6,14,0,34,117
5PB,6,2,29,30,52
5PB,6,4,26,30,60
5PB,6,6,22,30,69
5PB,6,8,18,31,79
5PB,6,10,14,31,90
5PB,6,12,8,31,103
5PB,6,14,3,31,118
7.5PB,6,2,31,30,52
7.5PB,6,4,29,29,60
7.5PB,6,6,27,29,69
7.5PB,6,8,25,29,78
7.5PB,6,10,23,28,88
7.5PB,6,12,21,27,102
7.5PB,6,14,18,27,116
10PB,6,2,32,29,52
10PB,6,4,32,29,59
10PB,6,6,32,28,68
10PB,6,8,32,27,76
10PB,6,10,32,26,86
10PB,6,12,32,25,97
10PB,6,14,32,24,109
10PB,6,16,32,22,124
2.5P,6,2,33,29,52
2.5P,6,4,34,28,58
2.5P,6,6,36,27,66
2.5P,6,8,37,25,74
2.5P,6,10,39,24,82
2.5P,6,12,41,23,91
2.5P,6,14,43,21,100
2.5P,6,16,46,19,111
2.5P,6,18,49,17,121
5P,6,2,34,29,51
5P,6,4,37,27,57
5P,6,6,40,26,63
